phone title,price,old price
Apple IPhone 7 Plus - 128GB - 3GB RAM - 5.5'' - Single SIM - Rose Gold,"KSh 41,998","KSh 79,999"
Apple IPhone 5 - 16G+1G - 4.0 Inch Screen - 8MP Pixel Refurbished Smart Phone 95% New,"KSh 7,500","KSh 13,500"
Apple Refurbished Apple IPhone 5s Smartphone 1+16GB-Silver,"KSh 6,580","KSh 7,710"
Apple iPhone 6S - 128GB - 2GB RAM - 12MP CAMERA - Space Grey,"KSh 24,215","KSh 39,999"
Apple iPhone 6 - 4.7''  - 16 GB + 1 GB - 8MP - Single SIM - 4G LTE - Gold,"KSh 16,065","KSh 24,999"
"Apple IPhone X, 256GB, 3GB RAM, Single Sim - Space Grey","KSh 63,000","KSh 86,750"
Apple IPhone 6S - 32 GB + 2 GB RAM - (Single SIM) - Space Grey,"KSh 20,849","KSh 29,999"
Apple AirPods Pro In-Ear Stereo Bluetooth Earphone With Wireless Charging Case,"KSh 12,490","KSh 22,490"
Apple iPhone 7 Plus - 128GB - 3GB RAM - 12MP Camera - 4G LTE - Single SIM - Matte Black.,"KSh 38,999","KSh 62,999"
Apple IPhone XR 64GB Refurbished Smartphone - Black,"KSh 49,040","KSh 50,140"
"Apple IPhone X, 256GB, 3GB RAM, Single Sim - Silver","KSh 63,000","KSh 85,000"
"Apple IPhone 6S Plus - 5.5"" - 128GB - 2GB RAM - 12MP Camera - 4G LTE - Grey","KSh 32,200","KSh 50,000"
Apple IPhone5S 4.0-Inch 1G+16G 8MP 4G LTE Smartphone–Gold,"KSh 8,900","KSh 13,950"
Apple IPhone 6S Refurbished Smartphone 128GB (Gift)-Gold,"KSh 17,480","KSh 18,540"
Apple iPhone XS 64GB - Black (nano-SIM And ESIM),"KSh 85,000",
"Apple iPhone 6s Plus - 5.5"" - 64GB - 2GB RAM - 12MP Camera - Single SIM - Grey","KSh 27,930","KSh 59,999"
Apple IPHONE  12PRO 128GB - 4GB RAM - DUAL  SIM -   BLUE,"KSh 175,499","KSh 195,000"
"Apple IPhone 6s Plus 128GB - 5.5"" - 12 MP Camera - Gold","KSh 32,500","KSh 40,000"
Apple IPhone 6 - 64GB - 1GB RAM - 8MP - Single SIM - 4G LTE - Space Gray,"KSh 20,931","KSh 29,999"
"Apple IPhone 6S Plus - 5.5"" - 64GB - 2GB RAM - 12MP Camera - Gold","KSh 27,889","KSh 48,999"
Apple iPhone 11 - 128GB - 4GB - Single SIM - BLACK,"KSh 93,999","KSh 119,000"
Apple IPhone 7 4.7'' 128GB+2GB Smartphone 12MP+7MP Refurbished-black,"KSh 26,500","KSh 50,000"
Apple iPhone X - 256GB - 3GB RAM (Single SIM) - Silver,"KSh 65,999","KSh 119,000"
Apple iPhone XS 64GB - Gold (nano-SIM And ESIM),"KSh 85,000",
Apple iPhone 5s 16GB 4.0'' FULLSET 16GB 4G LTE WIFI 8MP Fingerprint Second 95% NEW,"KSh 8,500","KSh 16,900"
Apple Iphone 5 4.0-Inch 16GB+1GB 4G LTE 8MP Smartphone-Silver,"KSh 6,990","KSh 11,990"
Apple IPhone 6 Plus 5.5'' 64GB 8MP IOS Smartphone With Fingerprint (Refurbished）- Gold,"KSh 20,490","KSh 40,000"
Apple IPhone 6s Refurbished Smartphone 4.7inch 16GB (Gift)- Grey,"KSh 14,030","KSh 15,090"
Apple IPhone 6S Plus Refurbished Smartphone 16GB (Gift)-Grey,"KSh 19,020","KSh 20,070"
LG GD580 Cellphone - Pink,"KSh 4,800","KSh 6,500"
LG G6 5.7'' 4GB RAM 32GB 13.0MP lte 4G Mobile Phone -black,"KSh 13,900","KSh 23,900"
LG G4 5.5 Inch 3GB RAM 32GB ROM Android 5.1 Smartphone - Gold,"KSh 8,600","KSh 13,500"
"LG V20 5.7"" (4GB , 64GB) Android 7,16MP, Single SIM 4G - Silver","KSh 29,900",
"LG Wine Smart LG H410 Korean Keyboard 3.2"" 1GB RAM 4GB ROM 3.15MP 4G LTE Slider Smartphone(Blue)","KSh 9,100","KSh 14,367"
"LG G6 5.7"" (4GB , 64GB) 4G Single SIM , Android 7 , 13MP - Blue","KSh 25,990",
LG G6 Quad Core 5.7 Inches 4GB RAM 32GB ROM 4G Mobile Phone - White,"KSh 12,900","KSh 25,800"
"LG Wine Smart LG H410 Korean Keyboard 3.2"" 1GB 4GB 3.15MP 4G LTE Slider Smartphone(Wine Red)","KSh 9,100","KSh 14,500"
LG G6 Quad Core 5.7 Inches 4GB RAM 32GB ROM 4G Mobile Phone - Grey,"KSh 12,900 - KSh 15,900","KSh 24,900 - KSh 30,900"
LG Nexus 5X H791 Hexa Core 5.2'' 2GB+16/32GB LTE 4G Android 6.0 Smartphone - Black,"KSh 10,100 - KSh 10,900","KSh 13,000 - KSh 17,500"
"LG G6 5.7"" 4GB RAM 32GB ROM 13MP LTE Mobile Phone - Black","KSh 13,900","KSh 22,900"
LG G5 4G RAM 32G  5.3'' 16.0MP  Fingerprint  lte phone -Gold,"KSh 12,990","KSh 22,990"
LG G6 Quad Core 5.7 Inches 4GB RAM 32GB ROM 4G Mobile Phone - Black,"KSh 12,900 - KSh 15,900","KSh 20,900 - KSh 30,900"
LG G6 Quad Core 5.7 Inches 4GB RAM 32GB ROM 4G Mobile Phone - Grey,"KSh 12,900","KSh 25,800"
"LG G6 5.7"" 4GB RAM 32GB ROM 13MP LTE Mobile Phone - White","KSh 13,900","KSh 22,900"
"LG G4 H815 Cellphone 5.5"" Hexa Core 3GB+32GB Android 16.0MP 4G LTE Mobile Phone - Black","KSh 8,900","KSh 11,900"
"LG G6 5.7"" (4GB , 64GB) Android 7 , 13MP, Single SIM 4G - White","KSh 24,990",
"LG G4 H815 Cellphone 5.5"" Hexa Core 3GB+32GB Android 16.0MP 4G LTE Mobile Phone - Gold","KSh 8,900","KSh 11,900"
LG GD580 Cellphone - Red,"KSh 4,800","KSh 6,500"
"Infinix NOTE 7 Lite -6.6"", 4GB +64GB, Dual Sim,Grey+ FREE WATCH & BLUETOOTH EARPHONES","KSh 15,450","KSh 20,000"
"Infinix Note 8, 6.95"", 128Gb+6Gb, 5200mAh, Android 10, 4G, Dual Sim - Deepsea Luster","KSh 23,280","KSh 30,000"
"Infinix Hot 9 Play, 6.82""-2GB/32GB-Dual SIM-6000mAh-quetzal Cyan FREE Gifts","KSh 13,399","KSh 21,000"
"Infinix Smart 4, 6.6"", 4G, 16GB+1GB, (Dual Sim) 4000mAh_cyan + Free Glass","KSh 9,400","KSh 12,900"
"Infinix Smart 5, 32GB + 2GB RAM, 6.6"", (Dual SIM), Midnight Black","KSh 9,997","KSh 15,000"
"Infinix NOTE 7 6.95"",4GB+64GB,5000mAh,-Aether Black+FREE STYLISH COVER,SELFIE STICK &OTG","KSh 17,999","KSh 25,346"
"Infinix Note 8i, 6.78"", 4GB+128GB, 48MP,(5200mAh),-Dual SIM, Black + Free Headphones ORF","KSh 18,500","KSh 18,999"
"Infinix NOTE 7 Lite - 6.6"", 4GB +64GB, Dual, Space Grey+ FREE Gifts","KSh 15,999","KSh 20,000"
"Infinix Hot 9, 6.6"", 64Gb+3Gb, 4G,16 MP, Android 10, 5000mAh, Dual Sim - Black","KSh 13,800","KSh 15,200"
"Infinix Hot 8 Lite, 6.6""-5000mAH-2GB/32GB-(DUAL SIM)-BLACK+FREE BLUETOOTH HEADSET","KSh 11,499","KSh 17,000"
"Infinix Hot 10 6.78"", 64GB + 3GB RAM (Dual SIM), 5200 MAh,Mediatek Helio G70 -BLACK","KSh 14,199","KSh 18,000"
"Infinix NOTE 7-6.95"",4GB RAM+64GB(Dual SIM)-5000MAh,Aether Black+FREE Cover&B.T Earphone","KSh 18,199","KSh 20,000"
"Infinix Smart 5, 6.6"",2GB+32GB,;8MP,3G Dual Sim,5000MAh-Black,Free Gifts.","KSh 10,249","KSh 13,000"
"Infinix Hot 9 Play, 6.8'', 32+2GB,6000mAH,4G(Dual Sim),Cyan+ 4 GIFTS","KSh 12,499","KSh 15,000"
"Infinix S5 - 6.6"",6GB+128GB,4 AI Cameras, 4G ,Dual SIM,Black+FREE 5D SCREEN PROTECTOR.","KSh 17,999","KSh 29,000"
"Infinix Note 8i, 6.78"", 4GB+128GB, 48MP,(5200mAh),-Dual SIM, Black + PLUS FREE INCLUDED","KSh 18,889","KSh 24,000"
"Infinix Hot 10 Lite, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh","KSh 11,500",
"Infinix Smart 5, 6.6"", 32GB + 2GB RAM (Dual SIM) ,Android 10 3G_Ocean Wave","KSh 9,549","KSh 15,000"
"Infinix Note 8i, 6.78"", 4GB+64GB, 48MP, 4G Dual Sim, 5200mAh- Black","KSh 15,900","KSh 16,599"
"Infinix Hot 9 Play,6.82"",32GB+2GB(Dual SIM),6000mAh,Black+Free OTG,Selfiestick,Ringstand","KSh 12,499","KSh 18,999"
"Infinix Smart 5, 6.6'' -2GB+32GB, 8MP, 5000mAh-Midnight Black + FREE TPU Cover&PopSocket","KSh 9,999","KSh 15,000"
"Infinix Smart 4, 6.6"", 16GB+1GB (Dual SIM),4000 MAh, 4G, Black + FREE Cover, Otg, Ring","KSh 9,399","KSh 13,000"
"Infinix NOTE 7 Lite, 6.6"", 4GB + 64GB (Dual SIM), 4G, 5000mAh - Grey +free Back Cover","KSh 15,000","KSh 18,999"
"Infinix Note 8i, 6.78"",4GB+64GB, 48MP,(Dual SIM),(5200mAh)-Tranquil Blue","KSh 15,800","KSh 22,500"
"Infinix Hot 10 LITE, 6.6"" (DualSim),32GB+2GB, 13MP, 5000mAh -Cyan","KSh 11,499","KSh 20,000"
"Infinix Hot 9, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black","KSh 13,999","KSh 14,099"
"Infinix Hot 10 Lite, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Midnight Black","KSh 10,999","KSh 15,000"
"Infinix HOT 8 Lite- 6.6""+,3G,2GB+32GB,Dual SIM,13MP Camera, & Fingerprint - Shark Grey .","KSh 10,690","KSh 19,000"
"Infinix Hot 10 LITE 6.6"" HD+, 32GB/2GB, Dual, 13MP, 5000mAh - Cyan + FREE Gifts","KSh 12,299","KSh 15,000"
"Infinix NOTE 7 -6.95"",6GB RAM+128GB(Dual SIM)-5000MAh-Aether Black+FREE Gifts","KSh 21,999","KSh 25,000"
"Infinix Smart 5, 6.6"",2GB+32GB,;8MP,3G Dual Sim,5000MAh-Midnight Black","KSh 9,849","KSh 13,000"
"Infinix Note 8, 6.95"", 128GB + 6GB(Dual SIM),Deepsea Luster+ RING,OTG & BT EARPHONES","KSh 23,299","KSh 32,099"
"Infinix Smart 5, 32GB + 2GB RAM, 6.6"", (Two SIM), Cyan+BT Speaker","KSh 10,198","KSh 11,975"
"Infinix Zero 8 6.8"", 8GB/128GB, 64MP, Dual 4G, 33W Fast Charg - Silver Diamond +FREE OTG","KSh 28,500","KSh 55,000"
"Infinix Smart 4, 6.6"", 16GB+1GB (Dual SIM),4000 MAh, 4G, Cyan + FREE GIFTS INCLUDED.","KSh 9,866","KSh 11,000"
"Infinix Hot 9 Play- 6.82"", 32GB + 2GB RAM (Dual SIM), 3.5mm Audio Jack- Cyan","KSh 12,300","KSh 20,000"
"Infinix Smart 4,  6.6"", 32GB + 2GB (Dual SIM), 4G, Cosmic Purple","KSh 10,749","KSh 18,000"
"Infinix Note 8i, 6.78"", 4GB+128GB, 48MP, 4G Dual Sim, 5200mAh - Black + Free Gifts","KSh 18,499","KSh 20,000"
"Infinix Zero 8, 6.85""-8GB/128GB-64MP-4500MAH-DUALSIM-Black+ Free Wireless Ear Bud+GIFTS","KSh 29,999","KSh 35,900"
